species	Function	S	S_genome	narr_og_cat	Process	Genus	Order	Lifestyle	S_norm
Cryptococcus_gattii_WM276	Lipid transport and metabolism	0.880950234	0.82914778	I	METABOLISM	Cryptococcus	Tremellales	Clinical	1.062476745
Cryptococcus_gattii_WM276	Nucleotide transport and metabolism	0.827081885	0.82914778	F	METABOLISM	Cryptococcus	Tremellales	Clinical	0.997508412
Cryptococcus_gattii_WM276	Replication, recombination and repair	0.526207086	0.82914778	L	INFORMATION STORAGE AND PROCESSING	Cryptococcus	Tremellales	Clinical	0.634636068
Cryptococcus_gattii_WM276	Chromatin structure and dynamics	0.915032807	0.82914778	B	INFORMATION STORAGE AND PROCESSING	Cryptococcus	Tremellales	Clinical	1.103582291
Cryptococcus_gattii_WM276	Coenzyme transport and metabolism	0.84056394	0.82914778	H	METABOLISM	Cryptococcus	Tremellales	Clinical	1.013768548
Cryptococcus_gattii_WM276	Transcription	0.706580045	0.82914778	K	INFORMATION STORAGE AND PROCESSING	Cryptococcus	Tremellales	Clinical	0.852176249
Cryptococcus_gattii_WM276	Cell wall, membrane, envelope biogenesis	0.893524621	0.82914778	M	CELLULAR PROCESSES AND SIGNALING	Cryptococcus	Tremellales	Clinical	1.07764218
Cryptococcus_gattii_WM276	Intracellular trafficking, secretion, and vesicular transport	0.783901614	0.82914778	U	CELLULAR PROCESSES AND SIGNALING	Cryptococcus	Tremellales	Clinical	0.945430517
Cryptococcus_gattii_WM276	RNA processing and modification	0.778204747	0.82914778	A	INFORMATION STORAGE AND PROCESSING	Cryptococcus	Tremellales	Clinical	0.938559767
Cryptococcus_gattii_WM276	Signal transduction mechanisms	0.79342268	0.82914778	T	CELLULAR PROCESSES AND SIGNALING	Cryptococcus	Tremellales	Clinical	0.956913471
Cryptococcus_gattii_WM276	Translation, ribosomal structure and biogenesis	0.875223439	0.82914778	J	INFORMATION STORAGE AND PROCESSING	Cryptococcus	Tremellales	Clinical	1.055569901
Cryptococcus_gattii_WM276	Carbohydrate transport and metabolism	0.883803821	0.82914778	G	METABOLISM	Cryptococcus	Tremellales	Clinical	1.065918335
Cryptococcus_gattii_WM276	Nuclear structure	0.883965266	0.82914778	Y	CELLULAR PROCESSES AND SIGNALING	Cryptococcus	Tremellales	Clinical	1.066113048
Cryptococcus_gattii_WM276	Post-translational modification, protein turnover, and chaperones	0.869261563	0.82914778	O	CELLULAR PROCESSES AND SIGNALING	Cryptococcus	Tremellales	Clinical	1.048379535
Cryptococcus_gattii_WM276	Defense mechanisms	0.816807344	0.82914778	V	CELLULAR PROCESSES AND SIGNALING	Cryptococcus	Tremellales	Clinical	0.985116723
Cryptococcus_gattii_WM276	Energy production and conversion	0.838192405	0.82914778	C	METABOLISM	Cryptococcus	Tremellales	Clinical	1.010908339
Cryptococcus_gattii_WM276	Cell motility	-0.742552533	0.82914778	N	CELLULAR PROCESSES AND SIGNALING	Cryptococcus	Tremellales	Clinical	-0.895561143
Cryptococcus_gattii_WM276	Inorganic ion transport and metabolism	0.896851898	0.82914778	P	METABOLISM	Cryptococcus	Tremellales	Clinical	1.081655068
Cryptococcus_gattii_WM276	Secondary metabolites biosynthesis, transport, and catabolism	0.893385877	0.82914778	Q	METABOLISM	Cryptococcus	Tremellales	Clinical	1.077474846
Cryptococcus_gattii_WM276	Amino acid transport and metabolism	0.911379328	0.82914778	E	METABOLISM	Cryptococcus	Tremellales	Clinical	1.099175985
Cryptococcus_gattii_WM276	Cell cycle control, cell division, chromosome partitioning	0.694487964	0.82914778	D	CELLULAR PROCESSES AND SIGNALING	Cryptococcus	Tremellales	Clinical	0.837592503
Cryptococcus_gattii_WM276	Cytoskeleton	0.75019216	0.82914778	Z	CELLULAR PROCESSES AND SIGNALING	Cryptococcus	Tremellales	Clinical	0.904774973
Cryptococcus_gattii_WM276	Extracellular structures	0.867696834	0.82914778	W	CELLULAR PROCESSES AND SIGNALING	Cryptococcus	Tremellales	Clinical	1.046492381
Cutaneotrichosporon_arboriformis_JCM_14201	Cell motility	0.843322516	0.514446949	N	CELLULAR PROCESSES AND SIGNALING	Cutaneotrichosporon	Trichosporonales	Clinical	1.639279849
Cutaneotrichosporon_arboriformis_JCM_14201	Lipid transport and metabolism	0.660197105	0.514446949	I	METABOLISM	Cutaneotrichosporon	Trichosporonales	Clinical	1.283314259
Cutaneotrichosporon_arboriformis_JCM_14201	Energy production and conversion	0.63029279	0.514446949	C	METABOLISM	Cutaneotrichosporon	Trichosporonales	Clinical	1.225185204
Cutaneotrichosporon_arboriformis_JCM_14201	Extracellular structures	0.207318584	0.514446949	W	CELLULAR PROCESSES AND SIGNALING	Cutaneotrichosporon	Trichosporonales	Clinical	0.402993127
Cutaneotrichosporon_arboriformis_JCM_14201	Coenzyme transport and metabolism	0.744867891	0.514446949	H	METABOLISM	Cutaneotrichosporon	Trichosporonales	Clinical	1.4479003
Cutaneotrichosporon_arboriformis_JCM_14201	Amino acid transport and metabolism	0.696908702	0.514446949	E	METABOLISM	Cutaneotrichosporon	Trichosporonales	Clinical	1.354675548
Cutaneotrichosporon_arboriformis_JCM_14201	RNA processing and modification	0.481568141	0.514446949	A	INFORMATION STORAGE AND PROCESSING	Cutaneotrichosporon	Trichosporonales	Clinical	0.936089023
Cutaneotrichosporon_arboriformis_JCM_14201	Transcription	0.443328793	0.514446949	K	INFORMATION STORAGE AND PROCESSING	Cutaneotrichosporon	Trichosporonales	Clinical	0.861758038
Cutaneotrichosporon_arboriformis_JCM_14201	Intracellular trafficking, secretion, and vesicular transport	0.363100109	0.514446949	U	CELLULAR PROCESSES AND SIGNALING	Cutaneotrichosporon	Trichosporonales	Clinical	0.705806711
Cutaneotrichosporon_arboriformis_JCM_14201	Translation, ribosomal structure and biogenesis	0.736168257	0.514446949	J	INFORMATION STORAGE AND PROCESSING	Cutaneotrichosporon	Trichosporonales	Clinical	1.430989647
Cutaneotrichosporon_arboriformis_JCM_14201	Nuclear structure	0.621334856	0.514446949	Y	CELLULAR PROCESSES AND SIGNALING	Cutaneotrichosporon	Trichosporonales	Clinical	1.207772459
Cutaneotrichosporon_arboriformis_JCM_14201	Cytoskeleton	0.30595375	0.514446949	Z	CELLULAR PROCESSES AND SIGNALING	Cutaneotrichosporon	Trichosporonales	Clinical	0.594723618
Cutaneotrichosporon_arboriformis_JCM_14201	Chromatin structure and dynamics	0.744659939	0.514446949	B	INFORMATION STORAGE AND PROCESSING	Cutaneotrichosporon	Trichosporonales	Clinical	1.447496075
Cutaneotrichosporon_arboriformis_JCM_14201	Carbohydrate transport and metabolism	0.670395036	0.514446949	G	METABOLISM	Cutaneotrichosporon	Trichosporonales	Clinical	1.303137356
Cutaneotrichosporon_arboriformis_JCM_14201	Inorganic ion transport and metabolism	0.646027542	0.514446949	P	METABOLISM	Cutaneotrichosporon	Trichosporonales	Clinical	1.255770967
Cutaneotrichosporon_arboriformis_JCM_14201	Nucleotide transport and metabolism	0.697064647	0.514446949	F	METABOLISM	Cutaneotrichosporon	Trichosporonales	Clinical	1.354978679
Cutaneotrichosporon_arboriformis_JCM_14201	Defense mechanisms	0.582696454	0.514446949	V	CELLULAR PROCESSES AND SIGNALING	Cutaneotrichosporon	Trichosporonales	Clinical	1.13266578
Cutaneotrichosporon_arboriformis_JCM_14201	Post-translational modification, protein turnover, and chaperones	0.484417545	0.514446949	O	CELLULAR PROCESSES AND SIGNALING	Cutaneotrichosporon	Trichosporonales	Clinical	0.941627794
Cutaneotrichosporon_arboriformis_JCM_14201	Cell wall, membrane, envelope biogenesis	0.528298486	0.514446949	M	CELLULAR PROCESSES AND SIGNALING	Cutaneotrichosporon	Trichosporonales	Clinical	1.026925103
Cutaneotrichosporon_arboriformis_JCM_14201	Replication, recombination and repair	0.225064609	0.514446949	L	INFORMATION STORAGE AND PROCESSING	Cutaneotrichosporon	Trichosporonales	Clinical	0.437488471
Cutaneotrichosporon_arboriformis_JCM_14201	Signal transduction mechanisms	0.408445218	0.514446949	T	CELLULAR PROCESSES AND SIGNALING	Cutaneotrichosporon	Trichosporonales	Clinical	0.793950123
Cutaneotrichosporon_arboriformis_JCM_14201	Secondary metabolites biosynthesis, transport, and catabolism	0.624625748	0.514446949	Q	METABOLISM	Cutaneotrichosporon	Trichosporonales	Clinical	1.214169409
Cutaneotrichosporon_arboriformis_JCM_14201	Cell cycle control, cell division, chromosome partitioning	0.272997396	0.514446949	D	CELLULAR PROCESSES AND SIGNALING	Cutaneotrichosporon	Trichosporonales	Clinical	0.530661902
Cutaneotrichosporon_curvatus_JCM_1532	Replication, recombination and repair	0.310676489	0.608954275	L	INFORMATION STORAGE AND PROCESSING	Cutaneotrichosporon	Trichosporonales	Clinical	0.510180323
Cutaneotrichosporon_curvatus_JCM_1532	Energy production and conversion	0.722062805	0.608954275	C	METABOLISM	Cutaneotrichosporon	Trichosporonales	Clinical	1.185742237
Cutaneotrichosporon_curvatus_JCM_1532	Defense mechanisms	0.457603436	0.608954275	V	CELLULAR PROCESSES AND SIGNALING	Cutaneotrichosporon	Trichosporonales	Clinical	0.751457794
Cutaneotrichosporon_curvatus_JCM_1532	Chromatin structure and dynamics	0.836616505	0.608954275	B	INFORMATION STORAGE AND PROCESSING	Cutaneotrichosporon	Trichosporonales	Clinical	1.373857675
Cutaneotrichosporon_curvatus_JCM_1532	Translation, ribosomal structure and biogenesis	0.795783015	0.608954275	J	INFORMATION STORAGE AND PROCESSING	Cutaneotrichosporon	Trichosporonales	Clinical	1.306802575
Cutaneotrichosporon_curvatus_JCM_1532	Amino acid transport and metabolism	0.715056778	0.608954275	E	METABOLISM	Cutaneotrichosporon	Trichosporonales	Clinical	1.174237224
Cutaneotrichosporon_curvatus_JCM_1532	Transcription	0.392588513	0.608954275	K	INFORMATION STORAGE AND PROCESSING	Cutaneotrichosporon	Trichosporonales	Clinical	0.644692926
Cutaneotrichosporon_curvatus_JCM_1532	Post-translational modification, protein turnover, and chaperones	0.571807537	0.608954275	O	CELLULAR PROCESSES AND SIGNALING	Cutaneotrichosporon	Trichosporonales	Clinical	0.938999134
Cutaneotrichosporon_curvatus_JCM_1532	Cytoskeleton	0.579140214	0.608954275	Z	CELLULAR PROCESSES AND SIGNALING	Cutaneotrichosporon	Trichosporonales	Clinical	0.951040557
Cutaneotrichosporon_curvatus_JCM_1532	Extracellular structures	0.76170997	0.608954275	W	CELLULAR PROCESSES AND SIGNALING	Cutaneotrichosporon	Trichosporonales	Clinical	1.250849203
Cutaneotrichosporon_curvatus_JCM_1532	Nucleotide transport and metabolism	0.746206612	0.608954275	F	METABOLISM	Cutaneotrichosporon	Trichosporonales	Clinical	1.225390218
Cutaneotrichosporon_curvatus_JCM_1532	Signal transduction mechanisms	0.514653439	0.608954275	T	CELLULAR PROCESSES AND SIGNALING	Cutaneotrichosporon	Trichosporonales	Clinical	0.845142993
Cutaneotrichosporon_curvatus_JCM_1532	Coenzyme transport and metabolism	0.756600686	0.608954275	H	METABOLISM	Cutaneotrichosporon	Trichosporonales	Clinical	1.242458943
Cutaneotrichosporon_curvatus_JCM_1532	Cell motility	0.507052608	0.608954275	N	CELLULAR PROCESSES AND SIGNALING	Cutaneotrichosporon	Trichosporonales	Clinical	0.832661217
Cutaneotrichosporon_curvatus_JCM_1532	Secondary metabolites biosynthesis, transport, and catabolism	0.744930742	0.608954275	Q	METABOLISM	Cutaneotrichosporon	Trichosporonales	Clinical	1.223295035
Cutaneotrichosporon_curvatus_JCM_1532	Intracellular trafficking, secretion, and vesicular transport	0.495818374	0.608954275	U	CELLULAR PROCESSES AND SIGNALING	Cutaneotrichosporon	Trichosporonales	Clinical	0.814212814
Cutaneotrichosporon_curvatus_JCM_1532	RNA processing and modification	0.605823981	0.608954275	A	INFORMATION STORAGE AND PROCESSING	Cutaneotrichosporon	Trichosporonales	Clinical	0.994859557
Cutaneotrichosporon_curvatus_JCM_1532	Carbohydrate transport and metabolism	0.653799877	0.608954275	G	METABOLISM	Cutaneotrichosporon	Trichosporonales	Clinical	1.073643627
Cutaneotrichosporon_curvatus_JCM_1532	Inorganic ion transport and metabolism	0.662870343	0.608954275	P	METABOLISM	Cutaneotrichosporon	Trichosporonales	Clinical	1.088538778
Cutaneotrichosporon_curvatus_JCM_1532	Cell cycle control, cell division, chromosome partitioning	0.469975039	0.608954275	D	CELLULAR PROCESSES AND SIGNALING	Cutaneotrichosporon	Trichosporonales	Clinical	0.771773937
Cutaneotrichosporon_curvatus_JCM_1532	Nuclear structure	0.584846856	0.608954275	Y	CELLULAR PROCESSES AND SIGNALING	Cutaneotrichosporon	Trichosporonales	Clinical	0.960411775
Cutaneotrichosporon_curvatus_JCM_1532	Lipid transport and metabolism	0.747722412	0.608954275	I	METABOLISM	Cutaneotrichosporon	Trichosporonales	Clinical	1.227879403
Cutaneotrichosporon_curvatus_JCM_1532	Cell wall, membrane, envelope biogenesis	0.493069292	0.608954275	M	CELLULAR PROCESSES AND SIGNALING	Cutaneotrichosporon	Trichosporonales	Clinical	0.809698383
Cutaneotrichosporon_cutaneum_JCM_1462	Replication, recombination and repair	0.414337828	0.548197299	L	INFORMATION STORAGE AND PROCESSING	Cutaneotrichosporon	Trichosporonales	Clinical	0.755818807
Cutaneotrichosporon_cutaneum_JCM_1462	Secondary metabolites biosynthesis, transport, and catabolism	0.669118897	0.548197299	Q	METABOLISM	Cutaneotrichosporon	Trichosporonales	Clinical	1.220580434
Cutaneotrichosporon_cutaneum_JCM_1462	Signal transduction mechanisms	0.38403069	0.548197299	T	CELLULAR PROCESSES AND SIGNALING	Cutaneotrichosporon	Trichosporonales	Clinical	0.700533714
Cutaneotrichosporon_cutaneum_JCM_1462	Carbohydrate transport and metabolism	0.718816876	0.548197299	G	METABOLISM	Cutaneotrichosporon	Trichosporonales	Clinical	1.311237537
Cutaneotrichosporon_cutaneum_JCM_1462	Inorganic ion transport and metabolism	0.736814288	0.548197299	P	METABOLISM	Cutaneotrichosporon	Trichosporonales	Clinical	1.34406771
Cutaneotrichosporon_cutaneum_JCM_1462	Intracellular trafficking, secretion, and vesicular transport	0.568459731	0.548197299	U	CELLULAR PROCESSES AND SIGNALING	Cutaneotrichosporon	Trichosporonales	Clinical	1.036961934
Cutaneotrichosporon_cutaneum_JCM_1462	Translation, ribosomal structure and biogenesis	0.827649542	0.548197299	J	INFORMATION STORAGE AND PROCESSING	Cutaneotrichosporon	Trichosporonales	Clinical	1.509765816
Cutaneotrichosporon_cutaneum_JCM_1462	Defense mechanisms	0.586484009	0.548197299	V	CELLULAR PROCESSES AND SIGNALING	Cutaneotrichosporon	Trichosporonales	Clinical	1.069841114
Cutaneotrichosporon_cutaneum_JCM_1462	Coenzyme transport and metabolism	0.682135963	0.548197299	H	METABOLISM	Cutaneotrichosporon	Trichosporonales	Clinical	1.244325655
Cutaneotrichosporon_cutaneum_JCM_1462	Amino acid transport and metabolism	0.742467121	0.548197299	E	METABOLISM	Cutaneotrichosporon	Trichosporonales	Clinical	1.354379386
Cutaneotrichosporon_cutaneum_JCM_1462	Cell wall, membrane, envelope biogenesis	0.628082592	0.548197299	M	CELLULAR PROCESSES AND SIGNALING	Cutaneotrichosporon	Trichosporonales	Clinical	1.145723617
Cutaneotrichosporon_cutaneum_JCM_1462	Cytoskeleton	0.514996945	0.548197299	Z	CELLULAR PROCESSES AND SIGNALING	Cutaneotrichosporon	Trichosporonales	Clinical	0.939437218
Cutaneotrichosporon_cutaneum_JCM_1462	Chromatin structure and dynamics	0.774361675	0.548197299	B	INFORMATION STORAGE AND PROCESSING	Cutaneotrichosporon	Trichosporonales	Clinical	1.41256018
